word=architect|family=n:architect:kiến trúc sư
word=plumber|family=n:plumber:thợ ống nước
word=discount|family=n:discount:giảm giá;v:discount:giảm giá
word=receipt|family=n:receipt:hóa đơn
word=refund|family=n:refund:hoàn tiền;v:refund:hoàn tiền;adj:refundable:có thể hoàn tiền
word=bargain|family=n:bargain:món hời
word=afford|family=v:afford:đủ tiền mua;adj:affordable:có giá phải chăng;n:affordability:khả năng chi trả
word=credit card|family=n:credit card:thẻ tín dụng
word=cashier|family=n:cashier:thu ngân
word=delivery|family=n:delivery:giao hàng;v:deliver:giao hàng;adj:deliverable:có thể bàn giao
word=brand|family=n:brand:thương hiệu
word=sale|family=n:sale:đợt giảm giá
word=curly|family=adj:curly:xoăn
word=slim|family=adj:slim:mảnh mai
word=athletic|family=adj:athletic:vạm vỡ
word=generous|family=adj:generous:hào phóng;n:generosity:sự hào phóng;adv:generously:một cách hào phóng
word=stubborn|family=adj:stubborn:bướng bỉnh;adv:stubbornly:một cách bướng bỉnh
word=cheerful|family=adj:cheerful:vui vẻ;n:cheerfulness:sự vui vẻ;adv:cheerfully:một cách vui vẻ
word=reliable|family=adj:reliable:đáng tin cậy;v:rely:tin cậy;n:reliability:độ tin cậy;adv:reliably:một cách đáng tin
word=anxious|family=adj:anxious:lo lắng;n:anxiety:sự lo âu;adv:anxiously:một cách lo lắng
word=patient|family=adj:patient:kiên nhẫn;n:patience:sự kiên nhẫn;adv:patiently:một cách kiên nhẫn
word=creative|family=adj:creative:sáng tạo;v:create:tạo ra;n:creation:sự sáng tạo
word=menu|family=n:menu:thực đơn
word=reservation|family=n:reservation:đặt bàn
word=ingredient|family=n:ingredient:nguyên liệu
word=portion|family=n:portion:khẩu phần
word=vegetarian|family=adj:vegetarian:ăn chay
word=spicy|family=adj:spicy:cay
word=dessert|family=n:dessert:món tráng miệng
word=buffet|family=n:buffet:tiệc tự chọn
word=serve|family=v:serve:phục vụ;n:service:dịch vụ
word=tip|family=n:tip:tiền boa
word=fever|family=n:fever:sốt
word=symptom|family=n:symptom:triệu chứng
word=medicine|family=n:medicine:thuốc
word=prescription|family=n:prescription:đơn thuốc;v:prescribe:kê đơn;adj:prescriptive:mang tính quy định
word=appointment|family=n:appointment:lịch hẹn
word=recovery|family=n:recovery:sự hồi phục;v:recover:hồi phục;adj:recoverable:có thể phục hồi
word=vaccine|family=n:vaccine:vắc-xin
word=allergy|family=n:allergy:dị ứng;adj:allergic:bị dị ứng
word=nutrition|family=n:nutrition:dinh dưỡng;adj:nutritional:thuộc dinh dưỡng;adv:nutritionally:về dinh dưỡng
word=diagnosis|family=n:diagnosis:chẩn đoán;v:diagnose:chẩn đoán;adj:diagnostic:thuộc chẩn đoán
word=tradition|family=n:tradition:truyền thống
word=ceremony|family=n:ceremony:lễ
word=monument|family=n:monument:công trình lịch sử
word=religion|family=n:religion:tôn giáo;adj:religious:thuộc tôn giáo;adv:religiously:một cách sùng đạo
word=border|family=n:border:biên giới
word=multilingual|family=adj:multilingual:đa ngôn ngữ
word=immigrant|family=n:immigrant:người nhập cư;v:immigrate:nhập cư
word=custom|family=n:custom:phong tục
word=continent|family=n:continent:châu lục
word=landmark|family=n:landmark:địa danh nổi tiếng
word=crowded|family=adj:crowded:đông đúc;v:crowd:tụ tập đông;n:crowd:đám đông
word=peaceful|family=adj:peaceful:yên bình;n:peace:hòa bình;adv:peacefully:một cách yên bình
