book,theme_no,theme_title,topic_no,topic_id,topic_title,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,c1,c2,c3,c4,c5
3,1,"Self & Society",1,b3-t01,"Education & Learning","pedagogy","attainment","curriculum","literacy","credential","cognitive","retention","autonomy","disparity","meritocracy","close the attainment gap","foster independent thinking","widen access to higher education","promote lifelong learning","challenge elitist structures"
3,1,"Self & Society",2,b3-t02,"Work & Career Challenges","vocation","redundancy","appraisal","workload","burnout","aspiration","mentorship","mobility","remuneration","disillusionment","climb the career ladder","face professional burnout","seek career mentorship","negotiate a pay rise","navigate workplace expectations"
3,1,"Self & Society",3,b3-t03,"Relationships & Modern Society","commitment","intimacy","dissolution","interdependence","compatibility","estrangement","reciprocity","vulnerability","attachment","alienation","build meaningful relationships","navigate emotional vulnerability","maintain long-distance relationships","overcome social alienation","foster mutual understanding"
3,1,"Self & Society",4,b3-t04,"Family Structures & Change","nuclear","extended","cohabitation","custody","dysfunction","kinship","obligation","reconstituted","parenting","fragmentation","redefine family structures","navigate custody arrangements","fulfil parental obligations","cope with family dysfunction","adapt to changing social norms"
3,1,"Self & Society",5,b3-t05,"Gender & Society","equality","stereotype","representation","patriarchy","empowerment","bias","discrimination","norm","identity","barrier","challenge gender stereotypes","promote equal representation","dismantle systemic barriers","empower marginalised groups","confront unconscious bias"
3,1,"Self & Society",6,b3-t06,"Sport, Health & Performance","elite","endurance","discipline","rivalry","doping","perseverance","spectacle","integrity","amateur","psychology","push physical limits","maintain peak performance","uphold sporting integrity","overcome psychological barriers","inspire the next generation"
3,1,"Self & Society",7,b3-t07,"Travel & Cultural Exchange","immersion","perception","authenticity","disorientation","curiosity","appreciation","adaptation","exposure","perspective","preconception","broaden cultural perspectives","overcome cultural stereotypes","embrace cultural immersion","navigate cultural disorientation","foster cross-cultural understanding"
3,1,"Self & Society",8,b3-t08,"Consumer Culture & Advertising","consumerism","manipulation","aspiration","branding","impulse","subliminal","commodification","persuasion","materialism","exploitation","exploit consumer psychology","reinforce materialistic values","commodify human relationships","resist manipulative advertising","challenge throwaway culture"
3,1,"Self & Society",9,b3-t09,"Social Media & Mental Health","addiction","validation","distortion","comparison","detachment","curated","harassment","anonymity","adaptability","exposure","foster unhealthy social comparison","curate an idealised self-image","experience digital detachment","combat online harassment","build digital resilience"
3,1,"Self & Society",10,b3-t10,"Work-Life Balance & Wellbeing","equilibrium","boundary","gratification","exhaustion","flexibility","productivity","overcommitment","restoration","disengagement","self-determination","maintain a healthy work-life balance","set firm personal boundaries","prevent professional burnout","pursue personal fulfilment","restore mental and physical energy"
3,2,"Health & the Human Body",11,b3-t11,"Mental Health & Society","stigma","anxiety","depression","therapy","resilience","disorder","awareness","counselling","prevention","wellbeing","reduce mental health stigma","seek professional counselling","build emotional resilience","raise public awareness","prevent psychological disorders"
3,2,"Health & the Human Body",12,b3-t12,"Stress & Coping Mechanisms","chronic","cortisol","threshold","accumulation","coping","trigger","manifestation","intervention","deterioration","compulsion","manage chronic stress effectively","identify emotional triggers","implement coping strategies","prevent psychological deterioration","seek early intervention"
3,2,"Health & the Human Body",13,b3-t13,"Healthcare Systems & Access","universal","triage","allocation","disparity","preventable","morbidity","mortality","provision","privatisation","universality","provide universal healthcare access","reduce preventable mortality","allocate scarce medical resources","challenge healthcare privatisation","address health inequalities"
3,2,"Health & the Human Body",14,b3-t14,"Happiness & Wellbeing Research","subjective","flourishing","gratitude","hedonic","eudaimonic","contentment","correlation","disposition","fulfilment","perception","measure subjective wellbeing","pursue meaningful fulfilment","challenge hedonic adaptation","foster a positive disposition","correlate happiness with social connection"
3,2,"Health & the Human Body",15,b3-t15,"The Science of Habit & Behaviour","reward system","routine","rewiring","incentive","willpower","relapse","conditioning","automaticity","urge","cue","break destructive habits","harness the power of routine","rewire behavioural patterns","build lasting willpower","exploit positive reinforcement"
3,2,"Health & the Human Body",16,b3-t16,"Food, Diet & Society","nutrition","deficiency","obesity","organic","sustainable","processed","disordered eating","regulation","diet culture","malnutrition","address nutritional deficiencies","combat rising obesity rates","challenge diet culture","regulate food advertising","ensure food security for all"
3,2,"Health & the Human Body",17,b3-t17,"Medical Science & Innovation","vaccine","clinical trial","diagnosis","efficacy","gene therapy","immunisation","donor","transplant","pharmaceutical","side effect","conduct clinical trials","develop gene therapy","improve diagnostic accuracy","roll out immunisation programmes","regulate pharmaceutical companies"
3,2,"Health & the Human Body",18,b3-t18,"Space Exploration & Science","orbit","gravitational","interstellar","astrophysics","trajectory","propulsion","exoplanet","magnitude","extraterrestrial","atmosphere","advance astrophysical understanding","explore the boundaries of the universe","sustain human life in space","detect gravitational waves","launch interstellar missions"
3,2,"Health & the Human Body",19,b3-t19,"The Ageing Population","longevity","pension","dependency","dementia","isolation","contribution","intergenerational","welfare","deterioration","palliative","address the ageing population crisis","provide palliative care","combat elderly isolation","sustain intergenerational solidarity","reform pension systems"
