word=headline|family=n:headline:tiêu đề
word=broadcast|family=v:broadcast:phát sóng;n:broadcast:chương trình phát sóng
word=journalist|family=n:journalist:nhà báo
word=editorial|family=n:editorial:bài xã luận
word=bias|family=n:bias:thiên kiến
word=censorship|family=n:censorship:kiểm duyệt;v:censor:kiểm duyệt
word=correspondent|family=n:correspondent:phóng viên thường trú
word=coverage|family=n:coverage:sự đưa tin;v:cover:đưa tin
word=propaganda|family=n:propaganda:tuyên truyền
word=verify|family=v:verify:xác minh;n:verification:sự xác minh;adj:verifiable:có thể xác minh
word=circulation|family=n:circulation:lượng phát hành
word=source|family=n:source:nguồn tin
word=feature|family=n:feature:bài phóng sự đặc biệt;v:feature:bài phóng sự đặc biệt
word=inflation|family=n:inflation:lạm phát;v:inflate:làm tăng;adj:inflationary:gây lạm phát
word=recession|family=n:recession:suy thoái kinh tế
word=tariff|family=n:tariff:thuế quan
word=subsidy|family=n:subsidy:trợ cấp nhà nước;v:subsidize:trợ cấp;adj:subsidized:được trợ cấp
word=monopoly|family=n:monopoly:độc quyền;v:monopolize:độc quyền;adj:monopolistic:mang tính độc quyền
word=deficit|family=n:deficit:thâm hụt ngân sách
word=commodity|family=n:commodity:hàng hóa cơ bản
word=fiscal|family=adj:fiscal:thuộc tài khóa;adv:fiscally:một cách thuộc tài khóa
word=currency|family=n:currency:tiền tệ
word=transaction|family=n:transaction:giao dịch;v:transact:giao dịch;adj:transactional:thuộc giao dịch
word=export|family=v:export:xuất khẩu;n:export:hàng xuất khẩu
word=GDP|family=n:GDP:tổng sản phẩm quốc nội
word=interest rate|family=n:interest rate:lãi suất
word=perception|family=n:perception:nhận thức;v:perceive:nhận thức;adj:perceptive:tinh ý;adv:perceptively:một cách tinh ý
word=cognitive|family=adj:cognitive:thuộc nhận thức;n:cognition:nhận thức;adv:cognitively:về nhận thức
word=trauma|family=n:trauma:chấn thương tâm lý
word=resilience|family=n:resilience:khả năng phục hồi tâm lý
word=motivation|family=n:motivation:động lực;v:motivate:tạo động lực;adj:motivated:có động lực
word=subconscious|family=n:subconscious:tiềm thức
word=identity|family=n:identity:bản sắc;v:identify:xác định;adj:identifiable:có thể nhận dạng
word=stereotype|family=n:stereotype:định kiến;v:stereotype:rập khuôn;adj:stereotypical:mang tính khuôn mẫu
word=empathy|family=n:empathy:sự đồng cảm;adj:empathetic:đồng cảm;adv:empathetically:một cách đồng cảm
word=anxiety|family=n:anxiety:lo âu;adj:anxious:lo lắng;adv:anxiously:một cách lo lắng
word=disorder|family=n:disorder:rối loạn tâm lý
