book,topic_id,topic_title,grammar_point,vi_grammar_point,level
1,b1-t01,Home & Family,Possessives ('s and possessive adjectives),Sở hữu cách và tính từ sở hữu,A1
1,b1-t02,Daily Routine,Frequency adverbs (always/usually/often/sometimes/never),Trạng từ tần suất và vị trí trong câu,A1
1,b1-t03,Food & Meals,Countable and uncountable nouns,Danh từ đếm được và không đếm được,A1
1,b1-t04,Shopping,Comparative adjectives (cheaper / more expensive),Tính từ so sánh hơn,A1
1,b1-t05,Clothes & Getting Dressed,Adjective order (size → colour → material),Trật tự tính từ trước danh từ,A1
1,b1-t06,Health & Body,Should / Shouldn't (giving advice),Should / Shouldn't — đưa ra lời khuyên,A1
1,b1-t07,Sports & Activities,Can / Can't (ability),Can / Can't — diễn đạt khả năng,A1
1,b1-t08,Free Time & Hobbies,Verb + -ing (like / love / enjoy / hate),Động từ theo sau bởi V-ing,A1
1,b1-t09,Transport & Getting Around,Prepositions of movement (to / from / along / through),Giới từ chỉ hướng và sự di chuyển,A1
1,b1-t10,Weather & Seasons,Present Simple for facts and general truths,Hiện tại đơn — sự thật và sự thật tổng quát,A1
1,b1-t11,Animals & Pets,Have / Has got,Have got / Has got — diễn đạt sở hữu,A1
1,b1-t12,Nature & Countryside,There is / There are,There is / There are — diễn đạt sự tồn tại,A1
1,b1-t13,My Street & Neighbourhood,Prepositions of place (in / on / at / next to / opposite),Giới từ chỉ vị trí,A1
1,b1-t14,Countries & Travel,Past Simple — regular verbs (-ed),Quá khứ đơn — động từ có quy tắc,A1
1,b1-t15,Parks & Green Spaces,Articles (a / an / the / zero article),Mạo từ a / an / the và mạo từ zero,A1
1,b1-t16,Technology & Devices,Present Continuous (actions happening now),Hiện tại tiếp diễn — hành động đang xảy ra,A1
1,b1-t17,School & Learning,Must / Mustn't (rules and obligations),Must / Mustn't — quy tắc và nghĩa vụ,A1
1,b1-t18,Jobs & Work,Present Simple for routines and professions,Hiện tại đơn — thói quen và nghề nghiệp,A1
1,b1-t19,Food Around the World,Some / Any,Some / Any — lượng từ cơ bản,A2
1,b1-t20,Celebrations & Special Days,Going to (future plans),Going to — diễn đạt kế hoạch tương lai,A2
1,b1-t21,Friends & Friendship,Object pronouns (me / him / her / us / them),Đại từ tân ngữ,A2
1,b1-t22,Feelings & Emotions,Linking verbs (look / feel / seem / sound + adjective),Động từ nối theo sau bởi tính từ,A2
1,b1-t23,Describing People (Appearance),Superlatives (the tallest / the most beautiful),Tính từ so sánh nhất,A2
1,b1-t24,Family Relationships,Plural nouns — regular and irregular,Danh từ số nhiều — có quy tắc và bất quy tắc,A2
1,b1-t25,Meeting People,Question words (who / what / where / when / why / how),Từ để hỏi,A2
1,b1-t26,Community & Neighbours,Relative clauses with who / which (basic),Mệnh đề quan hệ cơ bản với who / which,A2
1,b1-t27,A Birthday Party,Past Simple — irregular verbs,Quá khứ đơn — động từ bất quy tắc,A2
1,b1-t28,Children & Growing Up,Used to (past habits and states),Used to — thói quen và trạng thái trong quá khứ,A2
1,b1-t29,People I Know,Present Perfect — basic (have/has + past participle),Hiện tại hoàn thành cơ bản,A2
1,b1-t30,Being a Good Friend,Should vs Ought to (moral advice),Should vs Ought to — lời khuyên về đạo đức,A2
1,b1-t31,Classroom & School Life,Imperatives (instructions and commands),Câu mệnh lệnh — hướng dẫn và lệnh,A2
1,b1-t32,Subjects & Lessons,Too / Enough (too hard / not easy enough),Too / Enough — quá ... / đủ ...,A2
1,b1-t33,Reading & Writing,Conjunctions (and / but / because / so),Liên từ cơ bản,A2
1,b1-t34,Numbers & Maths,Cardinal and ordinal numbers,Số đếm và số thứ tự,A2
1,b1-t35,Exams & Tests,Will (future predictions and spontaneous decisions),Will — dự đoán và quyết định tức thì,A2
1,b1-t36,Libraries & Books,Present Perfect with ever / never,Hiện tại hoàn thành với ever / never,A2
1,b1-t37,Art & Creativity,Comparative and superlative review,Ôn tập so sánh hơn và so sánh nhất,A2
1,b1-t38,Music & Performance,Make / Let + object + infinitive,Make / Let + tân ngữ + động từ nguyên thể,A2
1,b1-t39,Simple Experiments at School,Sequencing linkers (first / then / next / after that / finally),Liên từ trình tự — sắp xếp các bước,A2
1,b1-t40,My English Class,Prepositions of time (in / on / at),Giới từ chỉ thời gian,A2
1,b1-t41,Cooking & Recipes,Imperatives in instructions and recipes,Câu mệnh lệnh trong hướng dẫn và công thức nấu ăn,A2
1,b1-t42,Shopping & Markets,How much / How many (quantity questions),How much / How many — hỏi về số lượng,A2
1,b1-t43,Sports Events & Competition,Past Continuous (was/were + -ing),Quá khứ tiếp diễn,A2
1,b1-t44,A Day Trip,Past Simple + time expressions (yesterday / last week / ago),Quá khứ đơn với trạng từ chỉ thời gian,A2
1,b1-t45,Accidents & Emergencies,Could / Couldn't (past ability),Could / Couldn't — khả năng trong quá khứ,A2
1,b1-t46,Getting Ready,Reflexive pronouns (myself / yourself / himself...),Đại từ phản thân,A2
1,b1-t47,Visiting Places,Wh- questions in the past tense,Câu hỏi Wh- ở thì quá khứ,A2
1,b1-t48,Celebrations & Events,Will vs Going to (predictions vs plans),Will vs Going to — phân biệt dự đoán và kế hoạch,A2
1,b1-t49,Problems & Solutions,First Conditional (If... will...),Câu điều kiện loại 1,A2
1,b1-t50,Giving Directions,Prepositions of direction (turn left / go straight / past / over),Giới từ và cụm từ chỉ hướng,A2
1,b1-t51,Saying Hello & Goodbye,Short answers (Yes I am / No I don't),Câu trả lời ngắn,A2
1,b1-t52,Social Media & Online Life,Present Perfect with just / already / yet,Hiện tại hoàn thành với just / already / yet,A2
1,b1-t53,At the Post Office,Modal verbs for requests (Could / Would you...?),Động từ khuyết thiếu cho yêu cầu lịch sự,A2
1,b1-t54,Simple Stories & Books,Time clauses (when / before / after / as soon as),Mệnh đề thời gian,A2
1,b1-t55,Asking for Help,Polite requests (Can / Could / Would you...? / May I...?),Các cách yêu cầu lịch sự,A2
1,b1-t56,Phones & Messaging,Reported speech — basic (say and tell),Câu gián tiếp cơ bản với say và tell,A2
1,b1-t57,Signs & Instructions,Passive voice — basic (is/are + past participle),Câu bị động cơ bản,A2
1,b1-t58,Writing & Messages,Formal vs informal register,Văn phong trang trọng và thân mật,A2
1,b1-t59,Likes & Dislikes,Would rather / Would prefer,Would rather / Would prefer — diễn đạt sở thích,A2
