book,theme_no,theme_title,topic_no,topic_id,topic_title,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
2,1,"Mind & Society",1,b2-t01,"Education Systems","curriculum","enrol","academic","vocational","scholarship","assessment","graduate","compulsory","tuition","literacy","discipline","attendance","boarding","state school","term"
2,1,"Mind & Society",2,b2-t02,"Work & Career","promotion","deadline","salary","resign","employer","professional","workplace","skilled","interview","contract","retire","industry","position","appraisal","rewarding"
2,1,"Mind & Society",3,b2-t03,"Health & Medicine","diagnosis","vaccination","chronic","symptom","prevention","treatment","prescription","immunity","disorder","specialist","recovery","patient","condition","refer","clinic"
2,1,"Mind & Society",4,b2-t04,"Law & Crime","evidence","verdict","suspect","fraud","corruption","witness","offender","appeal","justice","penalty","trial","offence","prosecute","convict","enforce"
2,1,"Mind & Society",5,b2-t05,"Government & Politics","democracy","election","policy","parliament","constitution","taxation","opposition","candidate","reform","vote","debate","citizen","authority","govern","lawmaker"
2,1,"Mind & Society",6,b2-t06,"Religion & Culture","ritual","sacred","worship","heritage","identity","diversity","tolerance","secular","belief","custom","spiritual","minority","practise","faith","spread"
2,1,"Mind & Society",7,b2-t07,"Equality & Everyday Life","equality","stereotype","representation","inclusion","bias","empower","barrier","discrimination","rights","gender","campaign","awareness","prejudice","background","protest"
2,1,"Mind & Society",8,b2-t08,"Using Social Media","post","share","comment","follow","like","profile","upload","viral","platform","engage","exposure","trend","audience","content","creator"
2,1,"Mind & Society",9,b2-t09,"City Life & Country Life","urban","rural","migration","commute","suburb","poverty","access","gap","service","population","crowded","peaceful","opportunity","transport","lifestyle"
2,1,"Mind & Society",10,b2-t10,"Family & Generations","generation","values","conflict","expectation","attitude","freedom","respect","tension","impact","parenting","upbringing","support","responsibility","bond","shift"
2,2,"Environment & Science",11,b2-t11,"Climate Change","carbon","emission","fossil fuel","renewable","drought","flood","greenhouse","extreme","atmosphere","warming","target","agreement","effect","degree","cut down"
2,2,"Environment & Science",12,b2-t12,"Energy & Resources","solar","nuclear","consume","efficient","shortage","supply","demand","alternative","generate","resource","capacity","fund","transition","network","clean"
2,2,"Environment & Science",13,b2-t13,"Wildlife & Nature Conservation","species","habitat","extinct","wildlife","conservation","hunter","at risk","native","diversity","recover","protect","breed","reserve","face danger","natural"
2,2,"Environment & Science",14,b2-t14,"Stress & Mental Health","anxiety","depression","therapy","strength","exhaustion","shame","trigger","coping","disorder","awareness","support","recover","professional","health","counsellor"
2,2,"Environment & Science",15,b2-t15,"Water & Oceans","ocean","pollution","marine","coral","tide","coastal","freshwater","preserve","flow","deep water","flooding","drought","clean water","waste","shortage"
2,2,"Environment & Science",16,b2-t16,"Space & Exploration","orbit","gravity","satellite","telescope","astronaut","galaxy","launch","mission","atmosphere","space","research","discovery","planet","solar","rocket"
2,2,"Environment & Science",17,b2-t17,"Everyday Technology","software","device","upgrade","update","connect","wireless","app","download","cloud","security","user","feature","system","smart","efficient"
