word=microscope|family=n:microscope:kính hiển vi
word=photosynthesis|family=n:photosynthesis:quang hợp
word=creature|family=n:creature:sinh vật
word=predator|family=n:predator:thú săn mồi
word=prey|family=n:prey:con mồi
word=evolve|family=v:evolve:tiến hóa;n:evolution:sự tiến hóa;adj:evolutionary:thuộc tiến hóa
word=element|family=n:element:nguyên tố hóa học
word=carnivore|family=n:carnivore:động vật ăn thịt
word=herbivore|family=n:herbivore:động vật ăn cỏ
word=survive|family=v:survive:tồn tại;n:survival:sự sống sót
word=invention|family=n:invention:phát minh;v:invent:phát minh;adj:inventive:sáng tạo
word=engineer|family=n:engineer:kỹ sư;v:engineer:thiết kế kỹ thuật
word=robot|family=n:robot:rô-bốt
word=device|family=n:device:thiết bị
word=sensor|family=n:sensor:cảm biến
word=circuit|family=n:circuit:mạch điện
word=software|family=n:software:phần mềm
word=digital|family=adj:digital:kỹ thuật số;adv:digitally:bằng kỹ thuật số;v:digitize:số hóa;n:digitization:sự số hóa
word=program|family=n:program:lập trình;v:program:lập trình;adj:programmable:có thể lập trình
word=artificial|family=adj:artificial:nhân tạo;adv:artificially:một cách nhân tạo
word=brave|family=adj:brave:dũng cảm;n:bravery:lòng dũng cảm;adv:bravely:một cách dũng cảm
word=determined|family=adj:determined:quyết tâm;v:determine:xác định;n:determination:sự quyết tâm;adv:determinedly:một cách quyết tâm
word=loyal|family=adj:loyal:trung thành;n:loyalty:lòng trung thành;adv:loyally:một cách trung thành
word=confident|family=adj:confident:tự tin;n:confidence:sự tự tin;adv:confidently:một cách tự tin
word=rescue|family=v:rescue:giải cứu;n:rescue:cuộc giải cứu
word=defeat|family=v:defeat:đánh bại;n:defeat:sự thất bại;adj:defeated:bị đánh bại
word=protect|family=v:protect:bảo vệ;n:protection:sự bảo vệ;adj:protective:có tính bảo vệ;adv:protectively:mang tính bảo vệ
word=villain|family=n:villain:kẻ phản diện
word=mission|family=n:mission:nhiệm vụ
word=ambitious|family=adj:ambitious:tham vọng;n:ambition:tham vọng;adv:ambitiously:một cách tham vọng
word=discover|family=v:discover:khám phá;n:discovery:sự khám phá
word=experiment|family=v:experiment:thí nghiệm;n:experiment:thí nghiệm;adj:experimental:mang tính thử nghiệm;adv:experimentally:bằng thực nghiệm
word=investigate|family=v:investigate:điều tra;n:investigation:cuộc điều tra;adj:investigative:mang tính điều tra
word=observe|family=v:observe:quan sát;n:observation:sự quan sát;adj:observant:tinh ý
word=examine|family=v:examine:kiểm tra kỹ;n:examination:sự kiểm tra
word=hypothesis|family=n:hypothesis:giả thuyết
word=classify|family=v:classify:phân loại;n:classification:sự phân loại;adj:classified:được phân loại
word=measure|family=v:measure:đo lường;n:measurement:sự đo lường;adj:measurable:có thể đo được;adv:measurably:ở mức đo được
word=theory|family=n:theory:lý thuyết
word=evidence|family=n:evidence:bằng chứng
word=construct|family=v:construct:xây dựng;n:construction:sự xây dựng;adj:constructive:mang tính xây dựng;adv:constructively:mang tính xây dựng
word=assemble|family=v:assemble:lắp ráp;n:assembly:sự lắp ráp
word=prototype|family=n:prototype:bản thử nghiệm
word=manufacture|family=v:manufacture:sản xuất;n:manufacture:sự sản xuất;adj:manufactured:được sản xuất
word=operate|family=v:operate:vận hành;n:operation:sự vận hành;adj:operational:đang hoạt động
word=control|family=v:control:điều khiển;n:control:sự kiểm soát;adj:controllable:có thể kiểm soát
word=adjust|family=v:adjust:điều chỉnh;n:adjustment:sự điều chỉnh;adj:adjustable:có thể điều chỉnh
word=mechanism|family=n:mechanism:cơ chế
word=component|family=n:component:linh kiện
word=structure|family=n:structure:cấu trúc
word=confront|family=v:confront:đối mặt
word=challenge|family=v:challenge:thách thức;n:challenge:thử thách;adj:challenging:đầy thử thách
word=overcome|family=v:overcome:vượt qua
word=alliance|family=n:alliance:liên minh
word=sacrifice|family=v:sacrifice:hi sinh;n:sacrifice:sự hi sinh;adj:sacrificial:mang tính hi sinh
word=transform|family=v:transform:biến đổi;n:transformation:sự biến đổi;adj:transformative:có tính biến đổi
word=superpower|family=n:superpower:siêu năng lực
word=quest|family=n:quest:cuộc tìm kiếm
word=endure|family=v:endure:chịu đựng;n:endurance:sức chịu đựng;adj:enduring:bền lâu
word=cunning|family=adj:cunning:khôn khéo
word=biodiversity|family=n:biodiversity:đa dạng sinh học
word=ecosystem|family=n:ecosystem:hệ sinh thái
word=conservation|family=n:conservation:bảo tồn;v:conserve:bảo tồn;adj:conservationist:thuộc bảo tồn
word=sustainable|family=adj:sustainable:bền vững;n:sustainability:tính bền vững;v:sustain:duy trì;adv:sustainably:một cách bền vững
